0,2
1,16
2,11
3,9
4,20
5,2
6,29
7,2
8,5
9,20
10,13
11,19
12,17
13,5
14,29
15,18
16,13
17,25
18,7
19,10
20,15
21,11
22,17
23,23
24,15
25,3
26,15
27,6
28,11
29,11
30,17
31,24
32,29
33,9
34,26
35,29
36,16
37,10
38,2
39,7
40,14
41,11
42,11
43,23
44,19
45,12
46,30
47,10
48,26
49,12
50,26
51,26
52,3
53,20
54,16
55,0
56,19
57,21
58,21
59,29
60,5
61,10
62,3
63,15
64,27
65,20
66,4
67,19
68,14
69,5
70,28
71,0
72,7
73,8
74,1
75,2
76,8
77,2
78,29
79,8
80,23
81,18
82,10
83,0
84,2
85,11
86,7
87,17
88,5
89,13
90,28
91,4
92,2
93,29
94,18
95,13
96,18
97,19
98,12
99,24
100,13
101,29
102,29
103,7
104,13
105,0
106,0
107,17
108,6
109,5
110,12
111,19
112,19
113,30
114,2
115,24
116,0
117,29
118,19
119,11
120,1
121,21
122,17
123,14
124,11
125,6
126,4
127,29
128,1
129,12
130,0
131,19
132,22
133,26
134,2
135,18
136,27
137,11
138,22
139,13
140,7
141,26
142,14
143,2
144,26
145,27
146,20
147,13
148,11
149,19
150,2
151,29
152,19
153,29
154,10
155,7
156,26
157,3
158,0
159,5
160,23
161,1
162,27
163,13
164,11
165,14
166,12
167,0
168,25
169,29
170,17
171,23
172,10
173,17
174,15
175,11
176,16
177,29
178,13
179,1
180,13
181,20
182,29
183,1
184,7
185,0
186,21
187,14
188,11
189,29
190,0
191,13
192,19
193,24
194,3
195,11
196,17
197,10
198,0
199,4
200,4
201,2
202,26
203,15
204,2
205,1
206,24
207,16
208,30
209,18
210,25
211,30
212,5
213,8
214,13
215,26
216,20
217,27
218,19
219,26
